City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Enterprise ,F,18.3,318363000,0.254,0.156,0.065,F,0.291,0.02,0.129,0.012,26562,0.029,2348,0.663,0.075,2.52,24184,9908,0.22,850.2,15260000,0.287,0.005,0.024,0.088,570212000,0.067,0.207,11616,0.694,21178,23467,0.658,NA,140000,0.084,0.778,0.254,31.24,0.003,25185,0.51,47480000,0.84,48042
Jacksonville ,F,19.7,NA,0.172,0.284,0.032,F,0.291,0.013,0.115,F,12548,0.019,863,0.503,0.042,2.24,38272,4391,0.443,1274.8,D,S,0.005,F,0.023,127188000,S,0.268,5382,0.687,8404,13281,0.675,NA,140500,0.053,0.686,0.493,9.84,0.002,17063,0.533,22483000,0.784,33987
Madison ,0.024,19.7,D,0.284,0.05,0.079,F,0.572,0.07,0.082,S,42938,0.026,3488,0.728,0.062,2.7,45784,14840,0.24,1450.9,382716000,0.267,0.005,0.067,0.043,530774000,0.082,0.146,17203,0.74,29329,13751,0.714,NA,224200,0.091,0.845,0.464,29.59,0.001,37883,0.507,72728000,0.961,85945
Dothan ,S,17.5,1153586000,0.245,0.175,0.025,F,0.232,0.011,0.147,0.018,65496,0.018,7363,0.622,0.069,2.52,21184,24973,0.219,732.6,D,0.245,0.004,0.018,0.029,1790163000,0.145,0.325,29274,0.631,57737,27351,0.617,NA,132400,0.047,0.832,0.134,89.4,0.001,24306,0.527,173977000,0.837,42124
Daphne ,F,23.9,NA,0.232,0.086,0.031,F,0.424,0.015,0.143,F,21570,0.012,2346,0.741,0.057,2.41,19648,8603,0.217,1328.1,118873000,0.343,0.004,S,0.029,653422000,0.041,0.118,10113,0.841,16581,34438,0.821,NA,192400,0.044,0.794,0.301,16.24,0.001,32917,0.517,49994000,0.955,59842
Montevallo ,F,27.1,NA,0.177,0.209,0.037,F,0.312,0.006,0.11,F,6323,0.018,542,0.58,0.058,2.29,50312,2074,0.332,502.4,D,S,0.003,F,0.057,49370000,0.114,0.246,2654,0.702,4825,8372,0.673,NA,148500,0.045,0.745,0.31,12.59,Z,19741,0.549,9237000,0.909,40417
Hamilton ,F,23.1,182894000,0.199,0.192,0.023,F,0.106,0.002,0.19,F,6885,0.011,610,0.716,0.057,2.18,32848,2864,0.179,180.9,D,0.243,0.004,F,0.031,102365000,F,0.077,3096,0.893,6786,16057,0.877,NA,83800,0.021,0.826,0.015,38.06,Z,17442,0.484,9612000,0.771,31297
Tarrant ,F,19.8,D,0.285,0.302,0.035,F,0.087,0.003,0.132,S,6397,0.015,615,0.591,0.079,2.81,74976,2247,0.117,1006.3,398086000,S,0.008,F,0.09,48933000,0.366,0.523,2804,0.39,7022,7423,0.367,NA,68800,0.038,0.816,-0.089,6.36,0.008,13990,0.543,8532000,0.792,28385
Monroeville ,F,16.8,D,0.246,0.277,0.016,F,0.172,0.003,0.18,F,6519,0.012,1075,0.627,0.067,2.39,50192,2652,0.198,487.5,43579000,0.234,0.003,F,0.008,163226000,0.268,0.557,3056,0.421,6862,25520,0.418,NA,96000,0.018,0.891,-0.05,13.37,0,20553,0.533,10943000,0.777,31593
Meadowbrook ,F,26.9,NA,0.275,0.014,0.03,F,0.598,0.021,0.081,F,8769,0.008,F,0.867,0.047,2.73,47740,3211,0.138,2079.9,NA,F,0.001,F,0.016,NA,F,0.039,3325,0.928,4697,NA,0.916,NA,273500,0.04,0.903,0.867,4.22,Z,40393,0.506,NA,0.979,98862
Bay Minette ,F,28.3,450930000,0.236,0.261,0.013,F,0.132,0.008,0.145,F,8044,0.017,651,0.679,0.062,2.83,4660,2502,0.157,938.7,110236000,0.223,0.01,F,0.018,235900000,F,0.353,3101,0.604,7820,30407,0.598,NA,94700,0.041,0.807,0.029,8.57,Z,16897,0.516,12363000,0.718,35951
Talladega ,F,17.5,282905000,0.232,0.255,0.026,F,0.125,0.005,0.145,F,15676,0.012,996,0.556,0.061,2.45,74592,5231,0.256,653.6,102542000,S,0.003,S,0.034,239408000,S,0.487,6611,0.477,15143,14156,0.465,NA,85100,0.037,0.793,0.035,23.98,Z,15146,0.513,17001000,0.723,32449
Southside ,F,28.6,NA,0.248,0.031,0.015,F,0.226,0.007,0.134,F,8412,0.007,664,0.934,0.057,2.7,71832,3046,0.004,443.1,D,0.182,0.002,F,0.013,11674000,F,0.015,3500,0.965,7036,1416,0.958,NA,151500,0.018,0.9,0.196,18.98,Z,29186,0.51,5804000,0.945,68981
Roanoke ,F,22.2,D,0.269,0.31,0,F,0.131,0.006,0.172,F,6074,0.009,533,0.618,0.072,2.51,65040,2385,0.126,324.2,D,0.259,0.002,F,0.012,91982000,0.129,0.405,2817,0.576,6563,13979,0.567,NA,67500,0.04,0.847,-0.075,18.73,0,20286,0.556,5720000,0.706,30073
Leeds ,F,25.3,212884000,0.219,0.13,0.042,F,0.235,0.006,0.148,S,11773,0.02,1303,0.673,0.07,2.47,41968,4572,0.204,514.9,66009000,0.256,0.004,F,0.066,126857000,0.021,0.143,5221,0.787,10455,11352,0.767,NA,137800,0.07,0.869,0.126,22.86,0.001,22513,0.52,16231000,0.802,41755
Chelsea ,F,33.8,NA,0.294,0.033,0.027,F,0.402,0.02,0.08,F,10183,0.013,F,0.892,0.096,2.65,14104,3476,0.007,477.1,NA,F,0.003,F,0.032,NA,F,0.057,3906,0.895,2949,NA,0.876,NA,215900,0.055,0.884,2.453,21.34,0.001,34747,0.512,NA,0.937,84868
Pleasant Grove ,F,26.6,NA,0.238,0.02,0,F,0.243,0.002,0.151,F,10110,0.007,784,0.917,0.052,2.71,61008,3642,0.058,1021.9,D,0.255,0.003,F,0.006,23398000,S,0.448,3946,0.537,9983,2274,0.535,NA,155300,0.017,0.894,0.013,9.89,Z,26833,0.524,1764000,0.925,66681
Mobile ,S,21.5,2338812000,0.241,0.215,0.037,F,0.259,0.018,0.137,0.015,195111,0.014,18950,0.592,0.067,2.5,50000,75701,0.281,1402.6,2311022000,0.311,0.003,0.028,0.024,3557830000,0.252,0.506,89127,0.45,198915,18562,0.439,NA,120600,0.054,0.847,-0.019,139.11,Z,22401,0.53,427459000,0.855,37056
Fairhope ,S,25.5,NA,0.224,0.059,0.047,F,0.449,0.007,0.237,S,15326,0.008,2377,0.732,0.053,2.22,25240,6635,0.142,1271.3,39414000,0.333,0.002,F,0.028,227490000,S,0.062,7659,0.911,12480,13666,0.893,NA,249000,0.051,0.89,0.228,12.06,Z,35086,0.537,65184000,0.956,56157
Jasper ,F,24.4,214486000,0.215,0.167,0.026,F,0.2,0.007,0.183,F,14352,0.014,1998,0.723,0.058,2.4,38416,5689,0.162,504.3,195518000,0.199,0.003,S,0.044,627862000,S,0.134,6478,0.813,14052,45167,0.799,NA,135400,0.03,0.863,0.021,28.46,0.002,27927,0.526,47858000,0.824,41586
Wetumpka ,F,25.6,NA,0.203,0.201,0.068,F,0.114,0.011,0.134,F,6528,0.018,1261,0.581,0.058,2.21,81720,2229,0.258,645.4,32236000,0.305,0.006,S,0.038,243672000,S,0.261,2535,0.679,5726,32356,0.67,NA,133800,0.1,0.609,0.14,10.11,0.001,16868,0.615,17432000,0.749,36585
Andalusia ,F,17.7,455466000,0.234,0.228,0.03,F,0.183,0.01,0.187,F,9015,0.017,1483,0.633,0.063,2.49,1708,3570,0.147,458.6,146962000,S,0.004,F,0.019,292210000,S,0.259,4356,0.705,8794,33919,0.695,NA,95000,0.045,0.851,0.025,19.66,0,19544,0.536,18909000,0.799,28049
Gardendale ,F,23.7,NA,0.215,0.035,0.009,F,0.248,0.012,0.184,F,13893,0.01,1590,0.873,0.061,2.43,29056,5533,0.06,616.2,4253000,0.356,0.003,S,0.015,258115000,S,0.086,6040,0.884,11626,19211,0.877,NA,163900,0.022,0.899,0.195,22.55,Z,30748,0.538,40015000,0.904,60244
Anniston ,F,19.7,1642267000,0.217,0.265,0.02,F,0.214,0.008,0.177,F,23106,0.017,2475,0.591,0.069,2.23,1852,10072,0.249,506.3,1990945000,0.193,0.003,0.013,0.027,539761000,0.106,0.515,11599,0.447,24276,22933,0.436,NA,92100,0.044,0.785,-0.048,45.64,0.001,20811,0.539,53547000,0.795,31135
Trussville ,F,26.2,212215000,0.256,0.018,0.018,F,0.398,0.016,0.133,F,19933,0.008,2080,0.921,0.059,2.81,76944,6537,0.024,603.5,137587000,0.257,0.002,S,0.013,530405000,S,0.066,7667,0.903,12924,28409,0.896,NA,222700,0.033,0.913,0.542,33.03,0.001,34268,0.523,56810000,0.933,85179
Arab ,F,27.8,D,0.237,0.181,0.022,F,0.24,0.007,0.191,F,8050,0.011,804,0.702,0.055,2.4,2116,3274,0.126,620.1,26169000,0.243,0.006,S,0.017,214704000,S,0.001,3693,0.966,7174,27240,0.958,NA,124800,0.029,0.771,0.122,12.98,0.001,23986,0.53,15985000,0.851,42435
Brook Highland ,F,21.3,NA,0.203,0.047,0.133,F,0.577,0.044,0.054,F,6746,0.021,F,0.387,0.05,2.11,9500,3111,0.568,2384.6,NA,F,0.002,F,0.078,NA,F,0.162,3550,0.736,NA,NA,0.701,NA,385500,0.17,0.694,NA,2.83,0,40578,0.504,NA,0.957,57214
Moody ,F,25,NA,0.232,0.093,0.037,F,0.158,0.014,0.118,F,11726,0.015,796,0.773,0.078,2.71,51096,4107,0.113,480.6,168648000,S,0.003,0.043,0.021,57072000,F,0.078,5094,0.882,8053,4421,0.871,NA,136100,0.054,0.849,0.456,24.4,0,21794,0.511,10160000,0.824,53213
Vestavia Hills ,F,19.8,NA,0.253,0.04,0.067,F,0.655,0.038,0.153,S,34033,0.01,3493,0.768,0.064,2.47,78552,13388,0.221,1753.5,443370000,0.223,0.002,S,0.025,388432000,0.03,0.038,14952,0.904,24476,12454,0.889,NA,318200,0.077,0.859,0.39,19.41,Z,50017,0.524,50400000,0.972,87154
Jackson ,F,19.5,D,0.251,0.29,0.005,F,0.194,0.004,0.175,F,5228,0.008,812,0.77,0.065,3.17,38152,1642,0.109,334.3,D,S,0.007,F,0.014,124503000,0.436,0.429,2426,0.549,5419,24484,0.542,NA,86400,0.014,0.931,-0.035,15.64,0,21822,0.533,10611000,0.777,32917
Alexander City ,F,19.4,D,0.235,0.205,0.035,F,0.181,0.009,0.175,F,14875,0.009,1636,0.575,0.068,2.49,1132,5876,0.176,364.2,D,0.324,0.002,S,0.048,228733000,S,0.32,6834,0.622,15008,15244,0.614,NA,93300,0.044,0.819,-0.009,40.84,Z,20097,0.527,18806000,0.763,34782
Spanish Fort ,F,27,NA,0.23,0.032,0.022,F,0.34,0.014,0.168,S,6798,0.014,903,0.822,0.05,2.37,71976,2797,0.21,236.8,D,0.178,0.006,F,0.024,215078000,F,0.048,3250,0.91,5423,37134,0.895,NA,193000,0.041,0.878,0.254,28.71,0.002,32856,0.511,43587000,0.931,65244
Midfield ,F,21.5,NA,0.277,0.159,0.002,F,0.203,0.002,0.091,F,5365,0.009,339,0.741,0.067,2.63,48376,2047,0.037,2023,D,S,0.001,F,0.014,81084000,S,0.816,2330,0.164,5626,15513,0.158,NA,79700,0.028,0.896,-0.046,2.65,0,16496,0.547,6553000,0.838,37138
Bessemer ,F,24.2,373138000,0.247,0.265,0.019,F,0.132,0.002,0.151,0.033,27456,0.009,2566,0.598,0.071,2.41,5980,11340,0.21,689,769072000,0.337,0.003,S,0.041,633181000,0.395,0.712,12369,0.243,29672,21891,0.236,NA,81700,0.039,0.866,-0.075,39.85,0,17272,0.533,62329000,0.788,27590
Montgomery ,0.007,19,6943702000,0.249,0.197,0.042,F,0.306,0.022,0.118,0.013,205764,0.013,19208,0.611,0.072,2.46,51000,80404,0.247,1289.5,3039289000,0.31,0.002,0.026,0.039,3132030000,0.369,0.566,92115,0.373,201568,15377,0.361,NA,118100,0.057,0.79,0.021,159.57,0.001,24409,0.53,395874000,0.851,42992
Boaz ,F,20.6,D,0.259,0.16,0.094,F,0.127,0.007,0.164,F,9551,0.016,1481,0.611,0.076,2.57,7912,3525,0.178,656.4,83688000,S,0.004,F,0.142,307988000,F,0.018,4036,0.873,7411,37486,0.818,NA,101300,0.117,0.796,0.289,14.55,0.003,17697,0.526,D,0.734,31172
Pell City ,F,24.6,506121000,0.237,0.107,0.021,F,0.172,0.008,0.157,F,12695,0.014,1595,0.75,0.067,2.33,58896,5118,0.127,512.9,55971000,0.27,0.003,F,0.023,314726000,0.032,0.156,5784,0.808,9565,25194,0.797,NA,145000,0.025,0.844,0.327,24.75,0.001,26353,0.529,26833000,0.832,43260
Florence ,F,18.2,987178000,0.201,0.251,0.03,F,0.26,0.014,0.173,S,39319,0.019,3744,0.603,0.059,2.17,26896,16979,0.277,1512.4,143257000,0.297,0.004,0.015,0.036,951712000,0.095,0.194,19299,0.75,36264,25463,0.737,NA,104200,0.042,0.782,0.084,26,0.001,21839,0.538,118663000,0.842,33001
Prattville ,F,21.9,D,0.271,0.087,0.028,F,0.283,0.014,0.119,0.017,33960,0.018,2954,0.732,0.065,2.71,62328,11841,0.135,1033.6,39495000,0.332,0.004,S,0.031,598167000,0.139,0.167,13541,0.785,24303,18879,0.769,NA,144300,0.049,0.856,0.397,32.85,0.001,26280,0.523,83344000,0.9,58979
Hoover ,S,23.6,NA,0.25,0.056,0.106,F,0.552,0.051,0.12,0.007,81619,0.015,7110,0.693,0.068,2.55,35896,30676,0.318,1730.6,1045378000,0.256,0.002,0.035,0.06,2117573000,0.077,0.148,35474,0.751,62742,30257,0.726,NA,262000,0.128,0.795,0.301,47.16,Z,39141,0.519,223988000,0.954,72960
Attalla ,F,21.9,97496000,0.227,0.182,0.036,F,0.116,0.005,0.172,F,6048,0.02,539,0.66,0.059,2.45,3028,2447,0.17,866.5,165402000,0.301,0.004,F,0.047,45793000,F,0.127,2841,0.815,6592,6957,0.799,NA,70300,0.05,0.829,-0.083,6.98,Z,16457,0.528,12451000,0.766,32426
Glencoe ,F,19.3,NA,0.212,0.052,0.015,F,0.178,0.005,0.172,F,5160,0.011,329,0.844,0.052,2.67,29992,1826,0.064,304.7,D,0.319,0.003,S,0.008,11375000,S,0.013,2270,0.965,5152,2171,0.959,NA,128400,0.008,0.864,0.002,16.93,0,24531,0.51,3016000,0.874,53279
Grayson Valley ,S,28.4,NA,0.243,0.02,0.025,S,0.243,0.009,0.108,S,5736,0.018,S,0.803,0.074,2.33,31348,2200,0.099,2872.3,D,S,0.003,S,0.022,12932000,S,0.258,2546,0.706,5447,NA,0.692,NA,116100,0.038,0.884,0.053,2,Z,22950,0.538,D,0.864,45260
Northport ,F,17.2,NA,0.234,0.154,0.032,F,0.311,0.011,0.14,F,23330,0.011,2083,0.668,0.076,2.52,55200,8864,0.25,1392.7,171922000,0.317,0.003,F,0.041,437195000,S,0.269,10256,0.684,19435,19136,0.668,NA,155700,0.059,0.822,0.2,16.75,0.003,23571,0.535,52825000,0.867,49167
Orange Beach ,F,30.3,NA,0.187,0.03,0.075,F,0.432,0.008,0.192,F,5441,0.022,1160,0.759,0.044,2.31,57144,2241,0.7,370.1,D,0.252,0.007,F,0.026,160848000,F,0.006,11726,0.943,3784,25973,0.933,NA,424000,0.091,0.727,0.438,14.7,Z,40153,0.503,77219000,0.973,66656
Valley ,F,21.5,NA,0.239,0.207,0.007,F,0.109,0.012,0.167,F,9524,0.011,453,0.649,0.061,2.58,78204,3667,0.173,863.5,D,0.311,0.001,F,0.017,138723000,S,0.33,5025,0.64,9198,15488,0.631,NA,83000,0.018,0.875,0.035,11.03,0.001,15928,0.532,13386000,0.741,31501
Gulf Shores ,F,17.9,NA,0.183,0.146,0.049,F,0.29,0.009,0.172,S,9741,0.019,1736,0.588,0.054,2.37,32272,3813,0.579,420.7,9323000,0.18,0.005,F,0.04,253998000,F,0.015,11921,0.934,5044,25032,0.909,NA,256200,0.064,0.694,0.931,23.16,0.001,28522,0.506,62500000,0.921,45801
Opp ,F,16,D,0.237,0.247,0.004,F,0.124,0.003,0.208,F,6659,0.012,602,0.675,0.065,2.33,57120,2793,0.11,281.4,174004000,S,0.006,F,0.009,79546000,S,0.167,3162,0.809,6607,12009,0.804,NA,65800,0.003,0.775,0.008,23.66,0,18331,0.545,7165000,0.723,26024
Atmore ,0.041,25.4,NA,0.186,0.23,0.031,F,0.096,0.003,0.129,F,10194,0.014,1049,0.692,0.057,2.58,3004,2721,0.162,466.5,11693000,S,0.018,F,0.018,142567000,S,0.556,3480,0.4,7676,14018,0.393,NA,94400,0.021,0.784,0.328,21.85,0.001,14798,0.391,11595000,0.628,36263
Saraland ,S,21.1,D,0.229,0.149,0.032,F,0.117,0.006,0.158,F,13405,0.014,1546,0.744,0.058,2.71,68160,4858,0.117,578.4,52243000,S,0.008,F,0.025,212656000,S,0.12,5828,0.837,12288,16567,0.828,NA,130100,0.05,0.903,0.091,23.18,0.001,22192,0.506,24318000,0.82,48721
Prichard ,F,22.6,118572000,0.26,0.362,0.014,F,0.072,0.001,0.132,S,22659,0.009,1296,0.617,0.069,2.51,62496,9037,0.159,896,69485000,S,0.004,F,0.008,117082000,0.65,0.858,9891,0.125,28633,4205,0.124,NA,65900,0.017,0.867,-0.209,25.29,Z,12859,0.539,9625000,0.721,21583
Clanton ,S,28.1,168575000,0.233,0.241,0.035,S,0.168,0.006,0.166,S,8619,0.014,S,0.664,0.072,2.38,15136,3524,0.156,392.9,D,S,0.003,S,0.06,291307000,S,0.191,3833,0.749,7800,33277,0.731,NA,109000,0.055,0.886,0.105,21.93,0.001,20336,0.525,23999000,0.779,35256
Muscle Shoals ,S,20.5,1200875000,0.236,0.106,0.035,F,0.219,0.009,0.16,S,13146,0.016,1481,0.743,0.058,2.47,53016,5084,0.147,846.5,62444000,0.263,0.003,F,0.027,426560000,S,0.153,5653,0.806,11924,33296,0.795,NA,125500,0.054,0.832,0.102,15.53,Z,23237,0.525,34064000,0.858,48134
Decatur ,S,19.6,2650095000,0.241,0.175,0.086,F,0.225,0.009,0.145,S,55683,0.022,4508,0.632,0.067,2.42,20104,22489,0.238,1037.4,792994000,0.225,0.007,0.018,0.124,1159607000,0.117,0.217,24538,0.665,53929,20882,0.629,NA,125600,0.115,0.848,0.033,53.67,0.001,23615,0.519,122424000,0.811,43090
Cullman ,F,20.7,676494000,0.225,0.154,0.059,F,0.218,0.009,0.195,0.02,14775,0.011,2367,0.58,0.063,2.29,18976,6000,0.305,762.5,342272000,0.18,0.003,S,0.082,613949000,0.017,0.009,6957,0.934,13995,41083,0.889,NA,124300,0.072,0.81,0.056,19.38,Z,23258,0.527,73271000,0.802,35529
Fairfield ,F,23.4,D,0.23,0.242,0.004,F,0.208,Z,0.13,F,11117,0.004,800,0.613,0.058,2.42,25120,4313,0.231,3202.8,187053000,0.298,Z,F,0.011,142584000,0.705,0.946,4935,0.042,12381,12451,0.04,NA,99400,0.017,0.842,-0.102,3.47,Z,18221,0.559,12120000,0.869,34242
Sylacauga ,F,21.9,D,0.244,0.213,0.017,F,0.153,0.005,0.171,F,12749,0.011,1139,0.559,0.064,2.37,74352,5309,0.234,654.2,129886000,S,0.004,F,0.023,236038000,F,0.302,5831,0.666,12616,18235,0.659,NA,118200,0.026,0.823,0.011,19.49,0,20172,0.546,16892000,0.771,34236
Troy ,S,16.7,365926000,0.183,0.31,0.061,F,0.348,0.034,0.1,F,18033,0.014,2099,0.462,0.053,2.34,76920,6872,0.311,652.7,123937000,0.277,0.004,S,0.02,290215000,0.199,0.39,7844,0.55,13935,19757,0.543,NA,143200,0.084,0.717,0.294,27.63,Z,19587,0.532,39454000,0.815,27609
Scottsboro ,S,19.2,722751000,0.217,0.168,0.024,F,0.216,0.008,0.189,F,14770,0.018,1694,0.712,0.056,2.37,68736,6215,0.14,291.6,266996000,S,0.008,S,0.035,320046000,F,0.046,7039,0.898,14762,21742,0.886,NA,106500,0.043,0.87,0.001,50.65,0.002,21065,0.524,31350000,0.795,36554
Fultondale ,S,27.1,NA,0.231,0.113,0.057,S,0.2,0.01,0.127,S,8380,0.02,S,0.695,0.077,2.17,28552,3730,0.209,687.1,45394000,S,0.004,S,0.108,87155000,S,0.166,3758,0.751,6595,12564,0.696,NA,121000,0.063,0.858,0.271,12.2,0.001,24903,0.519,18737000,0.855,44880
Homewood ,F,16.6,594323000,0.228,0.101,0.1,F,0.594,0.022,0.091,F,25167,0.014,2767,0.571,0.073,2.38,35800,9630,0.431,3009.7,670515000,0.223,0.002,S,0.073,662813000,0.042,0.173,11385,0.746,25043,27594,0.72,NA,296500,0.112,0.746,0.005,8.36,Z,30601,0.531,142533000,0.95,57215
Fort Payne ,F,15.7,1207076000,0.265,0.189,0.126,F,0.156,0.008,0.141,0.014,14012,0.025,1751,0.715,0.081,2.55,27616,5364,0.161,252.5,123273000,0.276,0.009,S,0.209,413839000,S,0.042,6009,0.776,12938,29785,0.72,NA,89300,0.19,0.824,0.083,55.49,0.002,20507,0.513,36558000,0.677,38536
Oneonta ,S,26.8,NA,0.23,0.178,0.113,S,0.196,0.005,0.207,S,6567,0.013,S,0.606,0.067,2.8,57000,2155,0.232,433,D,S,0.005,S,0.159,198085000,S,0.06,2751,0.841,5576,28934,0.763,NA,123400,0.201,0.794,0.178,15.17,Z,18951,0.524,13709000,0.721,40192
Eufaula ,F,20.7,D,0.261,0.232,0.021,F,0.188,0.006,0.156,F,13137,0.009,966,0.578,0.073,2.6,24568,4997,0.2,221.2,92538000,0.215,0.005,F,0.043,162360000,S,0.446,5829,0.51,13908,11214,0.495,NA,132100,0.047,0.872,-0.055,59.39,0.002,17515,0.537,22727000,0.771,34025
Clay ,F,27.4,NA,0.239,0.036,0.01,F,0.256,0.006,0.111,F,9708,0.011,423,0.898,0.052,2.94,15256,3238,0.026,977.3,D,S,0.003,F,0.013,37985000,F,0.133,3799,0.841,4947,4532,0.834,NA,167700,0.009,0.894,0.962,9.93,Z,28000,0.515,2560000,0.935,70273
Satsuma ,F,25.4,NA,0.238,0.007,0,F,0.199,0.006,0.149,F,6168,0.011,552,0.907,0.058,2.83,68352,2142,0.011,820.2,D,0.299,0.012,F,0.011,65889000,F,0.079,2416,0.887,5687,10994,0.882,NA,145900,0.016,0.909,0.085,7.52,Z,25087,0.518,4770000,0.916,59289
Pinson ,S,31,445835000,0.244,0.057,0.004,F,0.197,0.004,0.119,F,7163,0.01,645,0.918,0.059,2.65,60648,2699,0.013,709.2,22995000,S,0.002,F,0.037,61127000,F,0.17,2948,0.79,5033,8860,0.778,NA,136600,0.027,0.927,0.423,10.1,Z,23902,0.522,6955000,0.915,56863
Gadsden ,F,19.9,977752000,0.225,0.249,0.032,F,0.156,0.006,0.168,F,36856,0.019,3347,0.613,0.064,2.27,28696,15806,0.196,991.8,168673000,0.24,0.004,S,0.054,722565000,0.132,0.363,17672,0.573,38978,19598,0.56,NA,71000,0.05,0.793,-0.054,37.16,0.004,18610,0.525,94627000,0.772,28386
Foley ,F,21.8,D,0.209,0.192,0.058,F,0.205,0.011,0.22,F,14618,0.016,1878,0.599,0.071,2.38,26992,5600,0.237,567.4,60484000,0.204,0.006,F,0.095,608203000,S,0.149,7359,0.771,7590,44946,0.727,NA,171800,0.076,0.744,0.926,25.77,0.001,22967,0.531,66320000,0.877,41221
Center Point ,F,26.4,NA,0.286,0.187,0.028,F,0.153,0.004,0.118,F,16921,0.011,986,0.702,0.076,2.71,13264,6157,0.221,2766.7,D,0.455,0.002,F,0.048,82550000,0.408,0.629,7221,0.326,22784,5330,0.311,NA,108300,0.026,0.84,-0.257,6.12,Z,18918,0.537,9369000,0.871,41646
Opelika ,F,16,D,0.254,0.221,0.052,F,0.242,0.017,0.123,S,26477,0.013,3603,0.636,0.077,2.32,57048,10943,0.171,444.3,659210000,0.309,0.003,S,0.044,675076000,S,0.435,11751,0.506,23498,25940,0.492,NA,117000,0.067,0.814,0.127,59.59,0.002,21862,0.525,71368000,0.81,36415
Alabaster ,F,31.9,287605000,0.282,0.063,0.057,F,0.314,0.009,0.091,F,30352,0.015,2269,0.868,0.075,2.72,820,10710,0.069,1212,306504000,0.344,0.004,S,0.09,388744000,0.056,0.135,11295,0.794,22619,13493,0.751,NA,161800,0.076,0.863,0.342,25.04,Z,27935,0.507,38405000,0.902,67346
Demopolis ,F,14.6,D,0.27,0.268,0.008,F,0.253,0.005,0.148,F,7483,0.008,633,0.606,0.079,2.45,20296,3059,0.161,421.9,52674000,0.106,0.001,S,0.024,151485000,S,0.501,3417,0.473,7540,20627,0.465,NA,119400,0.013,0.809,-0.008,17.74,Z,21116,0.553,15440000,0.822,35583
Meridianville ,F,24.9,NA,0.256,0.058,0.027,F,0.229,0.017,0.12,F,6021,0.02,F,0.923,0.064,2.92,48112,2016,0,387.4,NA,F,0.007,F,0.027,NA,F,0.185,2353,0.763,4117,NA,0.748,NA,159700,0.025,0.881,0.462,15.54,0.002,26834,0.517,NA,0.916,68864
Helena ,F,31.8,NA,0.307,0.058,0.045,F,0.481,0.015,0.067,0.018,16793,0.013,1416,0.929,0.088,2.73,34024,5655,0.013,825.4,D,S,0.002,F,0.033,49862000,S,0.131,6268,0.825,10296,3434,0.807,NA,179800,0.07,0.88,0.631,20.34,Z,31333,0.517,5979000,0.951,76029
Greenville ,F,19.3,D,0.273,0.249,0.015,F,0.122,0.018,0.148,F,8135,0.005,1134,0.499,0.074,2.42,31912,3253,0.305,380.9,D,S,Z,0.049,0.013,201218000,S,0.555,3698,0.417,7228,28820,0.412,NA,81400,0.024,0.895,0.125,21.36,Z,15649,0.549,26598000,0.748,26664
Pelham ,0.014,26.7,469459000,0.26,0.065,0.121,F,0.4,0.024,0.094,0.05,21352,0.016,2865,0.851,0.074,2.63,58848,7745,0.026,547.2,2548367000,0.185,0.003,S,0.149,689600000,S,0.075,8541,0.812,14369,33261,0.739,NA,167000,0.159,0.851,0.486,39.02,0.001,30467,0.513,57234000,0.931,67622
Phenix City ,F,19.1,D,0.269,0.239,0.02,F,0.139,0.007,0.118,S,32822,0.022,2451,0.549,0.083,2.5,59472,12447,0.301,1182.6,74072000,0.362,0.003,S,0.04,233165000,0.347,0.466,15198,0.487,28265,7651,0.469,NA,111300,0.038,0.748,0.161,27.75,0.002,18883,0.533,45931000,0.808,33120
