City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Enterprise ,Alabama,F,18.3,318363000,0.254,0.156,0.065,F,0.291,0.02,0.129,0.012,"26,562",0.029,"2,348",0.663,0.075,2.52,24184,"9,908",0.22,850.2,15260000,0.287,0.005,0.024,0.088,570212000,0.067,0.207,"11,616",0.694,"21,178","$23,467 ",0.658,NA,"$140,000 ",0.084,0.778,0.254,31.24,0.003,"$25,185 ",0.51,47480000,0.84,"$48,042 "
Jacksonville ,Alabama,F,19.7,NA,0.172,0.284,0.032,F,0.291,0.013,0.115,F,"12,548",0.019,863,0.503,0.042,2.24,38272,"4,391",0.443,"1,274.80",D,S,0.005,F,0.023,127188000,S,0.268,"5,382",0.687,"8,404","$13,281 ",0.675,NA,"$140,500 ",0.053,0.686,0.493,9.84,0.002,"$17,063 ",0.533,22483000,0.784,"$33,987 "
Madison ,Alabama,0.024,19.7,D,0.284,0.05,0.079,F,0.572,0.07,0.082,S,"42,938",0.026,"3,488",0.728,0.062,2.7,45784,"14,840",0.24,"1,450.90",382716000,0.267,0.005,0.067,0.043,530774000,0.082,0.146,"17,203",0.74,"29,329","$13,751 ",0.714,NA,"$224,200 ",0.091,0.845,0.464,29.59,0.001,"$37,883 ",0.507,72728000,0.961,"$85,945 "
Dothan ,Alabama,S,17.5,1153586000,0.245,0.175,0.025,F,0.232,0.011,0.147,0.018,"65,496",0.018,"7,363",0.622,0.069,2.52,21184,"24,973",0.219,732.6,D,0.245,0.004,0.018,0.029,1790163000,0.145,0.325,"29,274",0.631,"57,737","$27,351 ",0.617,NA,"$132,400 ",0.047,0.832,0.134,89.4,0.001,"$24,306 ",0.527,173977000,0.837,"$42,124 "
Daphne ,Alabama,F,23.9,NA,0.232,0.086,0.031,F,0.424,0.015,0.143,F,"21,570",0.012,"2,346",0.741,0.057,2.41,19648,"8,603",0.217,"1,328.10",118873000,0.343,0.004,S,0.029,653422000,0.041,0.118,"10,113",0.841,"16,581","$34,438 ",0.821,NA,"$192,400 ",0.044,0.794,0.301,16.24,0.001,"$32,917 ",0.517,49994000,0.955,"$59,842 "
Montevallo ,Alabama,F,27.1,NA,0.177,0.209,0.037,F,0.312,0.006,0.11,F,"6,323",0.018,542,0.58,0.058,2.29,50312,"2,074",0.332,502.4,D,S,0.003,F,0.057,49370000,0.114,0.246,"2,654",0.702,"4,825","$8,372 ",0.673,NA,"$148,500 ",0.045,0.745,0.31,12.59,Z,"$19,741 ",0.549,9237000,0.909,"$40,417 "
Hamilton ,Alabama,F,23.1,182894000,0.199,0.192,0.023,F,0.106,0.002,0.19,F,"6,885",0.011,610,0.716,0.057,2.18,32848,"2,864",0.179,180.9,D,0.243,0.004,F,0.031,102365000,F,0.077,"3,096",0.893,"6,786","$16,057 ",0.877,NA,"$83,800 ",0.021,0.826,0.015,38.06,Z,"$17,442 ",0.484,9612000,0.771,"$31,297 "
Tarrant ,Alabama,F,19.8,D,0.285,0.302,0.035,F,0.087,0.003,0.132,S,"6,397",0.015,615,0.591,0.079,2.81,74976,"2,247",0.117,"1,006.30",398086000,S,0.008,F,0.09,48933000,0.366,0.523,"2,804",0.39,"7,022","$7,423 ",0.367,NA,"$68,800 ",0.038,0.816,-0.089,6.36,0.008,"$13,990 ",0.543,8532000,0.792,"$28,385 "
Monroeville ,Alabama,F,16.8,D,0.246,0.277,0.016,F,0.172,0.003,0.18,F,"6,519",0.012,"1,075",0.627,0.067,2.39,50192,"2,652",0.198,487.5,43579000,0.234,0.003,F,0.008,163226000,0.268,0.557,"3,056",0.421,"6,862","$25,520 ",0.418,NA,"$96,000 ",0.018,0.891,-0.05,13.37,0,"$20,553 ",0.533,10943000,0.777,"$31,593 "
Meadowbrook ,Alabama,F,26.9,NA,0.275,0.014,0.03,F,0.598,0.021,0.081,F,"8,769",0.008,F,0.867,0.047,2.73,47740,"3,211",0.138,"2,079.90",NA,F,0.001,F,0.016,NA,F,0.039,"3,325",0.928,"4,697",NA,0.916,NA,"$273,500 ",0.04,0.903,0.867,4.22,Z,"$40,393 ",0.506,NA,0.979,"$98,862 "
Bay Minette ,Alabama,F,28.3,450930000,0.236,0.261,0.013,F,0.132,0.008,0.145,F,"8,044",0.017,651,0.679,0.062,2.83,4660,"2,502",0.157,938.7,110236000,0.223,0.01,F,0.018,235900000,F,0.353,"3,101",0.604,"7,820","$30,407 ",0.598,NA,"$94,700 ",0.041,0.807,0.029,8.57,Z,"$16,897 ",0.516,12363000,0.718,"$35,951 "
Talladega ,Alabama,F,17.5,282905000,0.232,0.255,0.026,F,0.125,0.005,0.145,F,"15,676",0.012,996,0.556,0.061,2.45,74592,"5,231",0.256,653.6,102542000,S,0.003,S,0.034,239408000,S,0.487,"6,611",0.477,"15,143","$14,156 ",0.465,NA,"$85,100 ",0.037,0.793,0.035,23.98,Z,"$15,146 ",0.513,17001000,0.723,"$32,449 "
Southside ,Alabama,F,28.6,NA,0.248,0.031,0.015,F,0.226,0.007,0.134,F,"8,412",0.007,664,0.934,0.057,2.7,71832,"3,046",0.004,443.1,D,0.182,0.002,F,0.013,11674000,F,0.015,"3,500",0.965,"7,036","$1,416 ",0.958,NA,"$151,500 ",0.018,0.9,0.196,18.98,Z,"$29,186 ",0.51,5804000,0.945,"$68,981 "
Roanoke ,Alabama,F,22.2,D,0.269,0.31,0,F,0.131,0.006,0.172,F,"6,074",0.009,533,0.618,0.072,2.51,65040,"2,385",0.126,324.2,D,0.259,0.002,F,0.012,91982000,0.129,0.405,"2,817",0.576,"6,563","$13,979 ",0.567,NA,"$67,500 ",0.04,0.847,-0.075,18.73,0,"$20,286 ",0.556,5720000,0.706,"$30,073 "
Leeds ,Alabama,F,25.3,212884000,0.219,0.13,0.042,F,0.235,0.006,0.148,S,"11,773",0.02,"1,303",0.673,0.07,2.47,41968,"4,572",0.204,514.9,66009000,0.256,0.004,F,0.066,126857000,0.021,0.143,"5,221",0.787,"10,455","$11,352 ",0.767,NA,"$137,800 ",0.07,0.869,0.126,22.86,0.001,"$22,513 ",0.52,16231000,0.802,"$41,755 "
Chelsea ,Alabama,F,33.8,NA,0.294,0.033,0.027,F,0.402,0.02,0.08,F,"10,183",0.013,F,0.892,0.096,2.65,14104,"3,476",0.007,477.1,NA,F,0.003,F,0.032,NA,F,0.057,"3,906",0.895,"2,949",NA,0.876,NA,"$215,900 ",0.055,0.884,2.453,21.34,0.001,"$34,747 ",0.512,NA,0.937,"$84,868 "
Pleasant Grove ,Alabama,F,26.6,NA,0.238,0.02,0,F,0.243,0.002,0.151,F,"10,110",0.007,784,0.917,0.052,2.71,61008,"3,642",0.058,"1,021.90",D,0.255,0.003,F,0.006,23398000,S,0.448,"3,946",0.537,"9,983","$2,274 ",0.535,NA,"$155,300 ",0.017,0.894,0.013,9.89,Z,"$26,833 ",0.524,1764000,0.925,"$66,681 "
Mobile ,Alabama,S,21.5,2338812000,0.241,0.215,0.037,F,0.259,0.018,0.137,0.015,"195,111",0.014,"18,950",0.592,0.067,2.5,50000,"75,701",0.281,"1,402.60",2311022000,0.311,0.003,0.028,0.024,3557830000,0.252,0.506,"89,127",0.45,"198,915","$18,562 ",0.439,NA,"$120,600 ",0.054,0.847,-0.019,139.11,Z,"$22,401 ",0.53,427459000,0.855,"$37,056 "
Fairhope ,Alabama,S,25.5,NA,0.224,0.059,0.047,F,0.449,0.007,0.237,S,"15,326",0.008,"2,377",0.732,0.053,2.22,25240,"6,635",0.142,"1,271.30",39414000,0.333,0.002,F,0.028,227490000,S,0.062,"7,659",0.911,"12,480","$13,666 ",0.893,NA,"$249,000 ",0.051,0.89,0.228,12.06,Z,"$35,086 ",0.537,65184000,0.956,"$56,157 "
Jasper ,Alabama,F,24.4,214486000,0.215,0.167,0.026,F,0.2,0.007,0.183,F,"14,352",0.014,"1,998",0.723,0.058,2.4,38416,"5,689",0.162,504.3,195518000,0.199,0.003,S,0.044,627862000,S,0.134,"6,478",0.813,"14,052","$45,167 ",0.799,NA,"$135,400 ",0.03,0.863,0.021,28.46,0.002,"$27,927 ",0.526,47858000,0.824,"$41,586 "
Wetumpka ,Alabama,F,25.6,NA,0.203,0.201,0.068,F,0.114,0.011,0.134,F,"6,528",0.018,"1,261",0.581,0.058,2.21,81720,"2,229",0.258,645.4,32236000,0.305,0.006,S,0.038,243672000,S,0.261,"2,535",0.679,"5,726","$32,356 ",0.67,NA,"$133,800 ",0.1,0.609,0.14,10.11,0.001,"$16,868 ",0.615,17432000,0.749,"$36,585 "
Andalusia ,Alabama,F,17.7,455466000,0.234,0.228,0.03,F,0.183,0.01,0.187,F,"9,015",0.017,"1,483",0.633,0.063,2.49,1708,"3,570",0.147,458.6,146962000,S,0.004,F,0.019,292210000,S,0.259,"4,356",0.705,"8,794","$33,919 ",0.695,NA,"$95,000 ",0.045,0.851,0.025,19.66,0,"$19,544 ",0.536,18909000,0.799,"$28,049 "
Gardendale ,Alabama,F,23.7,NA,0.215,0.035,0.009,F,0.248,0.012,0.184,F,"13,893",0.01,"1,590",0.873,0.061,2.43,29056,"5,533",0.06,616.2,4253000,0.356,0.003,S,0.015,258115000,S,0.086,"6,040",0.884,"11,626","$19,211 ",0.877,NA,"$163,900 ",0.022,0.899,0.195,22.55,Z,"$30,748 ",0.538,40015000,0.904,"$60,244 "
Anniston ,Alabama,F,19.7,1642267000,0.217,0.265,0.02,F,0.214,0.008,0.177,F,"23,106",0.017,"2,475",0.591,0.069,2.23,1852,"10,072",0.249,506.3,1990945000,0.193,0.003,0.013,0.027,539761000,0.106,0.515,"11,599",0.447,"24,276","$22,933 ",0.436,NA,"$92,100 ",0.044,0.785,-0.048,45.64,0.001,"$20,811 ",0.539,53547000,0.795,"$31,135 "
Trussville ,Alabama,F,26.2,212215000,0.256,0.018,0.018,F,0.398,0.016,0.133,F,"19,933",0.008,"2,080",0.921,0.059,2.81,76944,"6,537",0.024,603.5,137587000,0.257,0.002,S,0.013,530405000,S,0.066,"7,667",0.903,"12,924","$28,409 ",0.896,NA,"$222,700 ",0.033,0.913,0.542,33.03,0.001,"$34,268 ",0.523,56810000,0.933,"$85,179 "
Arab ,Alabama,F,27.8,D,0.237,0.181,0.022,F,0.24,0.007,0.191,F,"8,050",0.011,804,0.702,0.055,2.4,2116,"3,274",0.126,620.1,26169000,0.243,0.006,S,0.017,214704000,S,0.001,"3,693",0.966,"7,174","$27,240 ",0.958,NA,"$124,800 ",0.029,0.771,0.122,12.98,0.001,"$23,986 ",0.53,15985000,0.851,"$42,435 "
Brook Highland ,Alabama,F,21.3,NA,0.203,0.047,0.133,F,0.577,0.044,0.054,F,"6,746",0.021,F,0.387,0.05,2.11,9500,"3,111",0.568,"2,384.60",NA,F,0.002,F,0.078,NA,F,0.162,"3,550",0.736,NA,NA,0.701,NA,"$385,500 ",0.17,0.694,NA,2.83,0,"$40,578 ",0.504,NA,0.957,"$57,214 "
Moody ,Alabama,F,25,NA,0.232,0.093,0.037,F,0.158,0.014,0.118,F,"11,726",0.015,796,0.773,0.078,2.71,51096,"4,107",0.113,480.6,168648000,S,0.003,0.043,0.021,57072000,F,0.078,"5,094",0.882,"8,053","$4,421 ",0.871,NA,"$136,100 ",0.054,0.849,0.456,24.4,0,"$21,794 ",0.511,10160000,0.824,"$53,213 "
Vestavia Hills ,Alabama,F,19.8,NA,0.253,0.04,0.067,F,0.655,0.038,0.153,S,"34,033",0.01,"3,493",0.768,0.064,2.47,78552,"13,388",0.221,"1,753.50",443370000,0.223,0.002,S,0.025,388432000,0.03,0.038,"14,952",0.904,"24,476","$12,454 ",0.889,NA,"$318,200 ",0.077,0.859,0.39,19.41,Z,"$50,017 ",0.524,50400000,0.972,"$87,154 "
Jackson ,Alabama,F,19.5,D,0.251,0.29,0.005,F,0.194,0.004,0.175,F,"5,228",0.008,812,0.77,0.065,3.17,38152,"1,642",0.109,334.3,D,S,0.007,F,0.014,124503000,0.436,0.429,"2,426",0.549,"5,419","$24,484 ",0.542,NA,"$86,400 ",0.014,0.931,-0.035,15.64,0,"$21,822 ",0.533,10611000,0.777,"$32,917 "
Alexander City ,Alabama,F,19.4,D,0.235,0.205,0.035,F,0.181,0.009,0.175,F,"14,875",0.009,"1,636",0.575,0.068,2.49,1132,"5,876",0.176,364.2,D,0.324,0.002,S,0.048,228733000,S,0.32,"6,834",0.622,"15,008","$15,244 ",0.614,NA,"$93,300 ",0.044,0.819,-0.009,40.84,Z,"$20,097 ",0.527,18806000,0.763,"$34,782 "
Spanish Fort ,Alabama,F,27,NA,0.23,0.032,0.022,F,0.34,0.014,0.168,S,"6,798",0.014,903,0.822,0.05,2.37,71976,"2,797",0.21,236.8,D,0.178,0.006,F,0.024,215078000,F,0.048,"3,250",0.91,"5,423","$37,134 ",0.895,NA,"$193,000 ",0.041,0.878,0.254,28.71,0.002,"$32,856 ",0.511,43587000,0.931,"$65,244 "
Midfield ,Alabama,F,21.5,NA,0.277,0.159,0.002,F,0.203,0.002,0.091,F,"5,365",0.009,339,0.741,0.067,2.63,48376,"2,047",0.037,"2,023.00",D,S,0.001,F,0.014,81084000,S,0.816,"2,330",0.164,"5,626","$15,513 ",0.158,NA,"$79,700 ",0.028,0.896,-0.046,2.65,0,"$16,496 ",0.547,6553000,0.838,"$37,138 "
Bessemer ,Alabama,F,24.2,373138000,0.247,0.265,0.019,F,0.132,0.002,0.151,0.033,"27,456",0.009,"2,566",0.598,0.071,2.41,5980,"11,340",0.21,689,769072000,0.337,0.003,S,0.041,633181000,0.395,0.712,"12,369",0.243,"29,672","$21,891 ",0.236,NA,"$81,700 ",0.039,0.866,-0.075,39.85,0,"$17,272 ",0.533,62329000,0.788,"$27,590 "
Montgomery ,Alabama,0.007,19,6943702000,0.249,0.197,0.042,F,0.306,0.022,0.118,0.013,"205,764",0.013,"19,208",0.611,0.072,2.46,51000,"80,404",0.247,"1,289.50",3039289000,0.31,0.002,0.026,0.039,3132030000,0.369,0.566,"92,115",0.373,"201,568","$15,377 ",0.361,NA,"$118,100 ",0.057,0.79,0.021,159.57,0.001,"$24,409 ",0.53,395874000,0.851,"$42,992 "
Boaz ,Alabama,F,20.6,D,0.259,0.16,0.094,F,0.127,0.007,0.164,F,"9,551",0.016,"1,481",0.611,0.076,2.57,7912,"3,525",0.178,656.4,83688000,S,0.004,F,0.142,307988000,F,0.018,"4,036",0.873,"7,411","$37,486 ",0.818,NA,"$101,300 ",0.117,0.796,0.289,14.55,0.003,"$17,697 ",0.526,D,0.734,"$31,172 "
Pell City ,Alabama,F,24.6,506121000,0.237,0.107,0.021,F,0.172,0.008,0.157,F,"12,695",0.014,"1,595",0.75,0.067,2.33,58896,"5,118",0.127,512.9,55971000,0.27,0.003,F,0.023,314726000,0.032,0.156,"5,784",0.808,"9,565","$25,194 ",0.797,NA,"$145,000 ",0.025,0.844,0.327,24.75,0.001,"$26,353 ",0.529,26833000,0.832,"$43,260 "
Florence ,Alabama,F,18.2,987178000,0.201,0.251,0.03,F,0.26,0.014,0.173,S,"39,319",0.019,"3,744",0.603,0.059,2.17,26896,"16,979",0.277,"1,512.40",143257000,0.297,0.004,0.015,0.036,951712000,0.095,0.194,"19,299",0.75,"36,264","$25,463 ",0.737,NA,"$104,200 ",0.042,0.782,0.084,26,0.001,"$21,839 ",0.538,118663000,0.842,"$33,001 "
Prattville ,Alabama,F,21.9,D,0.271,0.087,0.028,F,0.283,0.014,0.119,0.017,"33,960",0.018,"2,954",0.732,0.065,2.71,62328,"11,841",0.135,"1,033.60",39495000,0.332,0.004,S,0.031,598167000,0.139,0.167,"13,541",0.785,"24,303","$18,879 ",0.769,NA,"$144,300 ",0.049,0.856,0.397,32.85,0.001,"$26,280 ",0.523,83344000,0.9,"$58,979 "
Hoover ,Alabama,S,23.6,NA,0.25,0.056,0.106,F,0.552,0.051,0.12,0.007,"81,619",0.015,"7,110",0.693,0.068,2.55,35896,"30,676",0.318,"1,730.60",1045378000,0.256,0.002,0.035,0.06,2117573000,0.077,0.148,"35,474",0.751,"62,742","$30,257 ",0.726,NA,"$262,000 ",0.128,0.795,0.301,47.16,Z,"$39,141 ",0.519,223988000,0.954,"$72,960 "
Attalla ,Alabama,F,21.9,97496000,0.227,0.182,0.036,F,0.116,0.005,0.172,F,"6,048",0.02,539,0.66,0.059,2.45,3028,"2,447",0.17,866.5,165402000,0.301,0.004,F,0.047,45793000,F,0.127,"2,841",0.815,"6,592","$6,957 ",0.799,NA,"$70,300 ",0.05,0.829,-0.083,6.98,Z,"$16,457 ",0.528,12451000,0.766,"$32,426 "
Glencoe ,Alabama,F,19.3,NA,0.212,0.052,0.015,F,0.178,0.005,0.172,F,"5,160",0.011,329,0.844,0.052,2.67,29992,"1,826",0.064,304.7,D,0.319,0.003,S,0.008,11375000,S,0.013,"2,270",0.965,"5,152","$2,171 ",0.959,NA,"$128,400 ",0.008,0.864,0.002,16.93,0,"$24,531 ",0.51,3016000,0.874,"$53,279 "
Grayson Valley ,Alabama,S,28.4,NA,0.243,0.02,0.025,S,0.243,0.009,0.108,S,"5,736",0.018,S,0.803,0.074,2.33,31348,"2,200",0.099,"2,872.30",D,S,0.003,S,0.022,12932000,S,0.258,"2,546",0.706,"5,447",NA,0.692,NA,"$116,100 ",0.038,0.884,0.053,2,Z,"$22,950 ",0.538,D,0.864,"$45,260 "
Northport ,Alabama,F,17.2,NA,0.234,0.154,0.032,F,0.311,0.011,0.14,F,"23,330",0.011,"2,083",0.668,0.076,2.52,55200,"8,864",0.25,"1,392.70",171922000,0.317,0.003,F,0.041,437195000,S,0.269,"10,256",0.684,"19,435","$19,136 ",0.668,NA,"$155,700 ",0.059,0.822,0.2,16.75,0.003,"$23,571 ",0.535,52825000,0.867,"$49,167 "
Orange Beach ,Alabama,F,30.3,NA,0.187,0.03,0.075,F,0.432,0.008,0.192,F,"5,441",0.022,"1,160",0.759,0.044,2.31,57144,"2,241",0.7,370.1,D,0.252,0.007,F,0.026,160848000,F,0.006,"11,726",0.943,"3,784","$25,973 ",0.933,NA,"$424,000 ",0.091,0.727,0.438,14.7,Z,"$40,153 ",0.503,77219000,0.973,"$66,656 "
Valley ,Alabama,F,21.5,NA,0.239,0.207,0.007,F,0.109,0.012,0.167,F,"9,524",0.011,453,0.649,0.061,2.58,78204,"3,667",0.173,863.5,D,0.311,0.001,F,0.017,138723000,S,0.33,"5,025",0.64,"9,198","$15,488 ",0.631,NA,"$83,000 ",0.018,0.875,0.035,11.03,0.001,"$15,928 ",0.532,13386000,0.741,"$31,501 "
Gulf Shores ,Alabama,F,17.9,NA,0.183,0.146,0.049,F,0.29,0.009,0.172,S,"9,741",0.019,"1,736",0.588,0.054,2.37,32272,"3,813",0.579,420.7,9323000,0.18,0.005,F,0.04,253998000,F,0.015,"11,921",0.934,"5,044","$25,032 ",0.909,NA,"$256,200 ",0.064,0.694,0.931,23.16,0.001,"$28,522 ",0.506,62500000,0.921,"$45,801 "
Opp ,Alabama,F,16,D,0.237,0.247,0.004,F,0.124,0.003,0.208,F,"6,659",0.012,602,0.675,0.065,2.33,57120,"2,793",0.11,281.4,174004000,S,0.006,F,0.009,79546000,S,0.167,"3,162",0.809,"6,607","$12,009 ",0.804,NA,"$65,800 ",0.003,0.775,0.008,23.66,0,"$18,331 ",0.545,7165000,0.723,"$26,024 "
Atmore ,Alabama,0.041,25.4,NA,0.186,0.23,0.031,F,0.096,0.003,0.129,F,"10,194",0.014,"1,049",0.692,0.057,2.58,3004,"2,721",0.162,466.5,11693000,S,0.018,F,0.018,142567000,S,0.556,"3,480",0.4,"7,676","$14,018 ",0.393,NA,"$94,400 ",0.021,0.784,0.328,21.85,0.001,"$14,798 ",0.391,11595000,0.628,"$36,263 "
Saraland ,Alabama,S,21.1,D,0.229,0.149,0.032,F,0.117,0.006,0.158,F,"13,405",0.014,"1,546",0.744,0.058,2.71,68160,"4,858",0.117,578.4,52243000,S,0.008,F,0.025,212656000,S,0.12,"5,828",0.837,"12,288","$16,567 ",0.828,NA,"$130,100 ",0.05,0.903,0.091,23.18,0.001,"$22,192 ",0.506,24318000,0.82,"$48,721 "
Prichard ,Alabama,F,22.6,118572000,0.26,0.362,0.014,F,0.072,0.001,0.132,S,"22,659",0.009,"1,296",0.617,0.069,2.51,62496,"9,037",0.159,896,69485000,S,0.004,F,0.008,117082000,0.65,0.858,"9,891",0.125,"28,633","$4,205 ",0.124,NA,"$65,900 ",0.017,0.867,-0.209,25.29,Z,"$12,859 ",0.539,9625000,0.721,"$21,583 "
Clanton ,Alabama,S,28.1,168575000,0.233,0.241,0.035,S,0.168,0.006,0.166,S,"8,619",0.014,S,0.664,0.072,2.38,15136,"3,524",0.156,392.9,D,S,0.003,S,0.06,291307000,S,0.191,"3,833",0.749,"7,800","$33,277 ",0.731,NA,"$109,000 ",0.055,0.886,0.105,21.93,0.001,"$20,336 ",0.525,23999000,0.779,"$35,256 "
Muscle Shoals ,Alabama,S,20.5,1200875000,0.236,0.106,0.035,F,0.219,0.009,0.16,S,"13,146",0.016,"1,481",0.743,0.058,2.47,53016,"5,084",0.147,846.5,62444000,0.263,0.003,F,0.027,426560000,S,0.153,"5,653",0.806,"11,924","$33,296 ",0.795,NA,"$125,500 ",0.054,0.832,0.102,15.53,Z,"$23,237 ",0.525,34064000,0.858,"$48,134 "
Decatur ,Alabama,S,19.6,2650095000,0.241,0.175,0.086,F,0.225,0.009,0.145,S,"55,683",0.022,"4,508",0.632,0.067,2.42,20104,"22,489",0.238,"1,037.40",792994000,0.225,0.007,0.018,0.124,1159607000,0.117,0.217,"24,538",0.665,"53,929","$20,882 ",0.629,NA,"$125,600 ",0.115,0.848,0.033,53.67,0.001,"$23,615 ",0.519,122424000,0.811,"$43,090 "
Cullman ,Alabama,F,20.7,676494000,0.225,0.154,0.059,F,0.218,0.009,0.195,0.02,"14,775",0.011,"2,367",0.58,0.063,2.29,18976,"6,000",0.305,762.5,342272000,0.18,0.003,S,0.082,613949000,0.017,0.009,"6,957",0.934,"13,995","$41,083 ",0.889,NA,"$124,300 ",0.072,0.81,0.056,19.38,Z,"$23,258 ",0.527,73271000,0.802,"$35,529 "
Fairfield ,Alabama,F,23.4,D,0.23,0.242,0.004,F,0.208,Z,0.13,F,"11,117",0.004,800,0.613,0.058,2.42,25120,"4,313",0.231,"3,202.80",187053000,0.298,Z,F,0.011,142584000,0.705,0.946,"4,935",0.042,"12,381","$12,451 ",0.04,NA,"$99,400 ",0.017,0.842,-0.102,3.47,Z,"$18,221 ",0.559,12120000,0.869,"$34,242 "
Sylacauga ,Alabama,F,21.9,D,0.244,0.213,0.017,F,0.153,0.005,0.171,F,"12,749",0.011,"1,139",0.559,0.064,2.37,74352,"5,309",0.234,654.2,129886000,S,0.004,F,0.023,236038000,F,0.302,"5,831",0.666,"12,616","$18,235 ",0.659,NA,"$118,200 ",0.026,0.823,0.011,19.49,0,"$20,172 ",0.546,16892000,0.771,"$34,236 "
Troy ,Alabama,S,16.7,365926000,0.183,0.31,0.061,F,0.348,0.034,0.1,F,"18,033",0.014,"2,099",0.462,0.053,2.34,76920,"6,872",0.311,652.7,123937000,0.277,0.004,S,0.02,290215000,0.199,0.39,"7,844",0.55,"13,935","$19,757 ",0.543,NA,"$143,200 ",0.084,0.717,0.294,27.63,Z,"$19,587 ",0.532,39454000,0.815,"$27,609 "
Scottsboro ,Alabama,S,19.2,722751000,0.217,0.168,0.024,F,0.216,0.008,0.189,F,"14,770",0.018,"1,694",0.712,0.056,2.37,68736,"6,215",0.14,291.6,266996000,S,0.008,S,0.035,320046000,F,0.046,"7,039",0.898,"14,762","$21,742 ",0.886,NA,"$106,500 ",0.043,0.87,0.001,50.65,0.002,"$21,065 ",0.524,31350000,0.795,"$36,554 "
Fultondale ,Alabama,S,27.1,NA,0.231,0.113,0.057,S,0.2,0.01,0.127,S,"8,380",0.02,S,0.695,0.077,2.17,28552,"3,730",0.209,687.1,45394000,S,0.004,S,0.108,87155000,S,0.166,"3,758",0.751,"6,595","$12,564 ",0.696,NA,"$121,000 ",0.063,0.858,0.271,12.2,0.001,"$24,903 ",0.519,18737000,0.855,"$44,880 "
Homewood ,Alabama,F,16.6,594323000,0.228,0.101,0.1,F,0.594,0.022,0.091,F,"25,167",0.014,"2,767",0.571,0.073,2.38,35800,"9,630",0.431,"3,009.70",670515000,0.223,0.002,S,0.073,662813000,0.042,0.173,"11,385",0.746,"25,043","$27,594 ",0.72,NA,"$296,500 ",0.112,0.746,0.005,8.36,Z,"$30,601 ",0.531,142533000,0.95,"$57,215 "
Fort Payne ,Alabama,F,15.7,1207076000,0.265,0.189,0.126,F,0.156,0.008,0.141,0.014,"14,012",0.025,"1,751",0.715,0.081,2.55,27616,"5,364",0.161,252.5,123273000,0.276,0.009,S,0.209,413839000,S,0.042,"6,009",0.776,"12,938","$29,785 ",0.72,NA,"$89,300 ",0.19,0.824,0.083,55.49,0.002,"$20,507 ",0.513,36558000,0.677,"$38,536 "
Oneonta ,Alabama,S,26.8,NA,0.23,0.178,0.113,S,0.196,0.005,0.207,S,"6,567",0.013,S,0.606,0.067,2.8,57000,"2,155",0.232,433,D,S,0.005,S,0.159,198085000,S,0.06,"2,751",0.841,"5,576","$28,934 ",0.763,NA,"$123,400 ",0.201,0.794,0.178,15.17,Z,"$18,951 ",0.524,13709000,0.721,"$40,192 "
Eufaula ,Alabama,F,20.7,D,0.261,0.232,0.021,F,0.188,0.006,0.156,F,"13,137",0.009,966,0.578,0.073,2.6,24568,"4,997",0.2,221.2,92538000,0.215,0.005,F,0.043,162360000,S,0.446,"5,829",0.51,"13,908","$11,214 ",0.495,NA,"$132,100 ",0.047,0.872,-0.055,59.39,0.002,"$17,515 ",0.537,22727000,0.771,"$34,025 "
